508360	Paano mo sabihin ang "good bye" sa Aleman?	464137	How do you say "good bye" in German?
508363	Diyos ang lumikha sa mundo.	269624	God created the world.
508366	Pwede ba kitang tulungan?	25095	Can I help you?
508366	Pwede ba kitang tulungan?	456357	May I help you?
508369	Paano ang opisina?	245368	How's things at the office?
508369	Paano ang opisina?	1122160	What about the office?
508372	Magdadala ako sa iyo doon.	50925	I'll take you there.
513820	Kumusta po kayo?	373320	How are you?
532202	Ang lahat ng tao'y isinilang na malaya at pantay-pantay sa karangalan at mga karapatan. Sila'y pinagkalooban ng katwiran at budhi at dapat magpalagayan ang isa't isa sa diwa ng pagkakapatiran.	338182	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.
642234	Pakiusap, intindihin mo na lang ang trabaho mo.	1122152	Just mind your own business, please.
719101	Natutulog nang magalit ang mga ideyang walang kulay at kulay berde.	702472	Colorless green ideas sleep furiously.
743673	Siya ay nagbebenta ng gamot sa botika.	462390	She sells medicine in the pharmacy.
743674	Nais kong maging kaibigan si Nancy.	321676	I want to make friends with Nancy.
743675	Nagsasaulo siya ng sampung salitang Ingles kada araw.	288448	He memorized ten English words a day.
743676	Huwag kang mag-alala, magpakasaya ka!	1800	Don't worry, be happy!
743677	Gumaling sa sipnayan ang anak ko ngayong taon na ito.	274414	My son's ability at math has improved this year.
743678	Naglakad ako papunta sa parke.	240443	I walked toward the park.
743679	Ano'ng binili mo para sa kanya noong Pasko?	62809	What have you bought her for Christmas?
743681	Ano'ng klaseng trabaho ang papasukan mo?	36647	What kind of work will you do?
743682	Sampung taon na ang nakalipas mula nang dumating ako sa Tokyo.	246964	It is ten years since I came to Tokyo.
743684	Mukhang 19 taong gulang iyong mestiza na iyon.	46146	The girl with fair skin passes for nineteen.
743685	Masarap makatrabaho si Ginoong Norton.	35776	Mr Norton is pleasant to work with.
743687	Ganito ba kainit araw-araw?	322401	Is it this hot every day?
743688	Nagtagumpay siya sa harap ng maraming pagsusubok.	301100	He succeeded in the face of many difficulties.
743689	May asong sumunod sa akin sa paaralan.	239107	A dog followed me to my school.
743690	Hindi niya kailangang magtrabaho.	419110	She doesn't need to work.
743690	Hindi niya kailangang magtrabaho.	503772	He doesn't need to work.
743692	Pagod siya sa kakalakad sa mga museo.	303040	He was tired from walking round museums.
743694	Ano'ng klase ng karne ang ihinahain niyo?	281032	What kinds of meat dishes do you serve?
743696	Sigurado akong magreretiro siya sa trabaho niya.	283685	I am certain that he will quit his job.
743697	Sa tingin ko, iniisip niyang isa siya sa mga lalaki.	373201	I think she probably just thinks of herself as one of the boys.
743698	Ayaw mo bang pumunta sa party?	35685	Don't you want to go to the party?
743699	Madalas silang nag-uusap, harap-harapan at sa pamamagitan ng telepono.	305044	They talk a lot to one another, over the telephone and in person.
743700	Kung ano sinasabi natin at ang ibig nating sabihin ay kadalasang magkaiba.	240523	What we say and what we mean are often quite different.
743701	Hindi siya nakarating kahapon.	296920	He failed to come yesterday.
743702	Noon ay sampung taong gulang lang siya.	290940	He was then a boy of ten.
743703	Hindi mo masasabi kung gaano katagal itong mga meeting na ito.	716493	You can never tell how long these meetings will last.
743704	Dumating kami sa paliparan tatlong oras bago ang paglipad.	680145	We arrived at the airport three hours before our flight.
743706	Makikiraan po.	280432	Make way, please.
743707	Gusto ng lahat ang kaligayahan.	276425	Everybody desires happiness.
743708	Ang balita ko nagkasakit ka raw.	318395	I've heard you've been sick.
743709	Wala akong oras para kumuha ng iba pang estudyante.	31635	I don't have time to take any more pupils.
743710	Maraming bata ang nananatili sa paaralan kahit tapos na ang klase para sa club activities.	320999	Many children stay after school for club activities.
743711	Bumalik ka bago mag ika-10.	73419	You must be back before ten.
743712	Aling pangkat ang nakalalamang?	37969	Which team is likely to win?
743713	Tinanggihan ni Mayuko ang tsismis.	32398	Mayuko denied the rumor.
743714	Hoy, iwasan mo muna yung boss natin. Mukhang badtrip siya ngayon eh.	733759	Hey, steer clear of the boss today, he seems really ticked off about something.
743715	Konti lang ang nasa beach dahil umulan.	26950	Few were at the seaside because it was raining.
743716	Nabigyan siya ng pag-asa dahil doon.	290922	He took hope from that fact.
743717	Kailangan ng pintura ng bahay mo.	70795	Your house needs painting.
743718	Dati nang nahuli si Betty dahil sa pagnanakaw.	426652	Betty has a previous conviction for theft.
743720	Bago pa man maimbento ang computer, mayroon nang mga mala-calculator na kasangkapan.	239461	Primitive calculating machines existed long before computers were developed.
743721	Magsulat ng sanaysay tungkol sa "Pagkakaibigan".	73517	Write an essay on "Friendship".
743722	Maagang umalis ang barko.	273465	The ship left ahead of time.
743723	Ano'ng pangalan ng web page mo?	687476	What's the name of your web page?
743724	Nasa pinakamalalang yugto na ang bagyo.	325299	The storm was at its worst.
743725	Pakiramdam ko'y iniwasan niya ang mga pinakamahalagang problema.	293826	I felt that he skirted around the most important issues.
743726	30 taon na siyang nagtatrabaho para sa kapakanan ng kanyang taong-bayan.	288523	He has worked for the welfare of his people for 30 years.
743727	Bumili ako ng camera, pero nawala ko sa sumunod na araw.	253344	I bought a camera, but I lost it the next day.
743728	Kailan ba magsisimula?	42781	When does it begin?
743729	Huwag mo kalimutang magdala ng payong.	569828	Don't forget to take an umbrella with you.
743730	Sa totoo lang, kapatid ko siya.	265128	As a matter of fact, she is my sister.
743731	Atin-atin lang ito.	55934	This is just among ourselves.
743755	Ang putla niya. Baka may sakit siya.	313085	She looks pale. She may have been Ill.
743757	Natapos mo na bang basahin ang dyaryo ngayong araw?	242599	Have you finished reading today's paper yet?
743758	Si Judy ay magsasalita tungkol sa Hapon bukas.	53005	Judy will talk about Japan tomorrow.
743759	Mas mainit-init na.	51944	It has become much warmer.
743761	Ang sabi niya, "Ayaw kong gumawa ng palusot, kaya wala na akong sasabihin pa."	73893	He said, "I will say nothing more, because I hate making excuses."
743763	Pakibagalan niyo po ang inyong pagsasalita.	1707	Speak more slowly, please!
743765	Sa tingin ko OK lang.	433884	I think it's OK.
743766	Ipinakilala niya sa akin ang anak niyang babae.	304034	He introduced his daughter to me.
743767	Maraming batang lalaki ang pumunta sa digmaan.	274864	Many young men went to war.
743769	Mga sampung minuto papunta sa istasyon gamit ang bus.	25993	It's about ten minutes to the station by bus.
743772	Maraming uri ng kape.	573115	There are various kinds of coffee.
743778	Maraming kaakit-akit na hayop sa Australia.	65154	There are many interesting animals in Australia.
743780	Magpapalaki ako ng maraming puno rito.	61814	I will grow many trees here.
743781	Wala akong tiwala sa kanya.	250086	As for me, I don't trust him at all.
743782	Nakuha mo ba?	61476	Got the hang of it?
743784	Mukhang nabigo siya sa kanyang anak.	434004	He seems disappointed in his son.
743787	Talunin natin ang Hapon!	448644	Let's beat Japan!
743788	Lagi na lang siyang humihiram ng pera sa akin.	290158	He was constantly borrowing money from me.
743790	Itong-ito ang hinahanap niya.	288059	He was looking for this very thing.
743791	Mahilig magbasa ang lolo ko.	251352	My grandfather is very fond of reading.
743794	Mahiyain siya noong high school pa lang siya.	313628	She was shy in her high school days.
743796	Magsisimula ako pagdating niya.	282977	I will start after he comes.
743798	Mahina siya sa sipnayan.	271017	Mathematics is her weak point.
743799	Lalabas ang katotohanan.	269580	The truth will come out one day.
